Time,Lx,Ly,Lz
91.727,0.000000,0.000000,10234.917292
91.728,0.000000,0.000000,10234.932556
91.729,0.000000,0.000000,10234.947820
91.73,0.000000,0.000000,10234.963084
91.731,0.000000,0.000000,10234.978347
91.732,0.000000,0.000000,10234.993611
91.733,0.000000,0.000000,10235.008874
91.734,0.000000,0.000000,10235.024136
91.735,0.000000,0.000000,10235.039399
91.736,0.000000,0.000000,10235.054661
91.737,0.000000,0.000000,10235.069923
91.738,0.000000,0.000000,10235.085185
91.739,0.000000,0.000000,10235.100447
91.74,0.000000,0.000000,10235.115708
91.741,0.000000,0.000000,10235.130969
91.742,0.000000,0.000000,10235.146230
91.743,0.000000,0.000000,10235.161491
91.744,0.000000,0.000000,10235.176751
91.745,0.000000,0.000000,10235.192011
91.746,0.000000,0.000000,10235.207271
91.747,0.000000,0.000000,10235.222531
91.748,0.000000,0.000000,10235.237790
91.749,0.000000,0.000000,10235.253049
91.75,0.000000,0.000000,10235.268308
91.751,0.000000,0.000000,10235.283567
91.752,0.000000,0.000000,10235.298825
91.753,0.000000,0.000000,10235.314083
91.754,0.000000,0.000000,10235.329341
91.755,0.000000,0.000000,10235.344599
91.756,0.000000,0.000000,10235.359856
91.757,0.000000,0.000000,10235.375114
91.758,0.000000,0.000000,10235.390371
91.759,0.000000,0.000000,10235.405627
91.76,0.000000,0.000000,10235.420884
91.761,0.000000,0.000000,10235.436140
91.762,0.000000,0.000000,10235.451396
91.763,0.000000,0.000000,10235.466651
91.764,0.000000,0.000000,10235.481907
91.765,0.000000,0.000000,10235.497162
91.766,0.000000,0.000000,10235.512417
91.767,0.000000,0.000000,10235.527672
91.768,0.000000,0.000000,10235.542926
91.769,0.000000,0.000000,10235.558181
91.77,0.000000,0.000000,10235.573435
91.771,0.000000,0.000000,10235.588688
91.772,0.000000,0.000000,10235.603942
91.773,0.000000,0.000000,10235.619195
91.774,0.000000,0.000000,10235.634448
91.775,0.000000,0.000000,10235.649701
91.776,0.000000,0.000000,10235.664953
91.777,0.000000,0.000000,10235.680206
91.778,0.000000,0.000000,10235.695458
91.779,0.000000,0.000000,10235.710709
91.78,0.000000,0.000000,10235.725961
91.781,0.000000,0.000000,10235.741212
91.782,0.000000,0.000000,10235.756463
91.783,0.000000,0.000000,10235.771714
91.784,0.000000,0.000000,10235.786965
91.785,0.000000,0.000000,10235.802215
91.786,0.000000,0.000000,10235.817465
91.787,0.000000,0.000000,10235.832715
91.788,0.000000,0.000000,10235.847964
91.789,0.000000,0.000000,10235.863214
91.79,0.000000,0.000000,10235.878463
91.791,0.000000,0.000000,10235.893711
91.792,0.000000,0.000000,10235.908960
91.793,0.000000,0.000000,10235.924208
91.794,0.000000,0.000000,10235.939456
91.795,0.000000,0.000000,10235.954704
91.796,0.000000,0.000000,10235.969952
91.797,0.000000,0.000000,10235.985199
91.798,0.000000,0.000000,10236.000446
91.799,0.000000,0.000000,10236.015693
91.8,0.000000,0.000000,10236.030940
91.801,0.000000,0.000000,10236.046186
91.802,0.000000,0.000000,10236.061432
91.803,0.000000,0.000000,10236.076678
91.804,0.000000,0.000000,10236.091924
91.805,0.000000,0.000000,10236.107169
91.806,0.000000,0.000000,10236.122414
91.807,0.000000,0.000000,10236.137659
91.808,0.000000,0.000000,10236.152904
91.809,0.000000,0.000000,10236.168148
91.81,0.000000,0.000000,10236.183392
91.811,0.000000,0.000000,10236.198636
91.812,0.000000,0.000000,10236.213880
91.813,0.000000,0.000000,10236.229123
91.814,0.000000,0.000000,10236.244366
91.815,0.000000,0.000000,10236.259609
91.816,0.000000,0.000000,10236.274852
91.817,0.000000,0.000000,10236.290094
91.818,0.000000,0.000000,10236.305337
91.819,0.000000,0.000000,10236.320578
91.82,0.000000,0.000000,10236.335820
91.821,0.000000,0.000000,10236.351062
91.822,0.000000,0.000000,10236.366303
91.823,0.000000,0.000000,10236.381544
91.824,0.000000,0.000000,10236.396784
91.825,0.000000,0.000000,10236.412025
91.826,0.000000,0.000000,10236.427265
91.827,0.000000,0.000000,10236.442505
91.828,0.000000,0.000000,10236.457745
91.829,0.000000,0.000000,10236.472984
91.83,0.000000,0.000000,10236.488223
91.831,0.000000,0.000000,10236.503462
91.832,0.000000,0.000000,10236.518701
91.833,0.000000,0.000000,10236.533940
91.834,0.000000,0.000000,10236.549178
91.835,0.000000,0.000000,10236.564416
91.836,0.000000,0.000000,10236.579653
91.837,0.000000,0.000000,10236.594891
91.838,0.000000,0.000000,10236.610128
91.839,0.000000,0.000000,10236.625365
91.84,0.000000,0.000000,10236.640602
91.841,0.000000,0.000000,10236.655838
91.842,0.000000,0.000000,10236.671075
91.843,0.000000,0.000000,10236.686311
91.844,0.000000,0.000000,10236.701546
91.845,0.000000,0.000000,10236.716782
91.846,0.000000,0.000000,10236.732017
91.847,0.000000,0.000000,10236.747252
91.848,0.000000,0.000000,10236.762487
91.849,0.000000,0.000000,10236.777722
91.85,0.000000,0.000000,10236.792956
91.851,0.000000,0.000000,10236.808190
91.852,0.000000,0.000000,10236.823424
91.853,0.000000,0.000000,10236.838657
91.854,0.000000,0.000000,10236.853890
91.855,0.000000,0.000000,10236.869123
91.856,0.000000,0.000000,10236.884356
91.857,0.000000,0.000000,10236.899589
91.858,0.000000,0.000000,10236.914821
91.859,0.000000,0.000000,10236.930053
91.86,0.000000,0.000000,10236.945285
91.861,0.000000,0.000000,10236.960517
91.862,0.000000,0.000000,10236.975748
91.863,0.000000,0.000000,10236.990979
91.864,0.000000,0.000000,10237.006210
91.865,0.000000,0.000000,10237.021440
91.866,0.000000,0.000000,10237.036671
91.867,0.000000,0.000000,10237.051901
91.868,0.000000,0.000000,10237.067130
91.869,0.000000,0.000000,10237.082360
91.87,0.000000,0.000000,10237.097589
91.871,0.000000,0.000000,10237.112818
91.872,0.000000,0.000000,10237.128047
91.873,0.000000,0.000000,10237.143276
91.874,0.000000,0.000000,10237.158504
91.875,0.000000,0.000000,10237.173732
91.876,0.000000,0.000000,10237.188960
91.877,0.000000,0.000000,10237.204188
91.878,0.000000,0.000000,10237.219415
91.879,0.000000,0.000000,10237.234642
91.88,0.000000,0.000000,10237.249869
91.881,0.000000,0.000000,10237.265096
91.882,0.000000,0.000000,10237.280322
